user_id,department,role,state
U0001,Engineering,Frontend,Illinois
U0002,Sales,AE,Texas
U0003,Engineering,Data,Illinois
U0004,Engineering,Data,Washington
U0005,Engineering,Frontend,New York
U0006,Engineering,Data,Texas
U0007,Support,Agent,Washington
U0008,Marketing,Manager,Illinois
U0009,Sales,SDR,Florida
U0010,Sales,AE,Kansas
U0011,Marketing,Manager,California
U0012,Engineering,Backend,Tennessee
U0013,Marketing,Manager,Illinois
U0014,Engineering,Backend,California
U0015,Marketing,Specialist,Vermont
U0016,Engineering,Frontend,Louisiana
U0017,Marketing,Manager,Tennessee
U0018,Engineering,Backend,New York
U0019,Marketing,Manager,Florida
U0020,Sales,SDR,Illinois
U0021,Engineering,Data,Louisiana
U0022,Sales,AE,Vermont
U0023,Marketing,Manager,Louisiana
U0024,Engineering,Frontend,Tennessee
U0025,Marketing,Specialist,New York
U0026,Sales,SDR,New York
U0027,Support,Lead,Tennessee
U0028,Support,Agent,New York
